codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-03-0880-0846,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 375 VIDRIO 35°,375NI,SAN ANDRES,2
4-03-0880-0892,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 35°,750NI,SAN ANDRES,1
4-03-0000-1072,SEMITERMINADO RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,SEMITERMINADO,2
4-03-0000-1210,SEMITERMINADO RON VIEJO DE CALDAS 15 GRE 700 VIDRIO 40° NP,700CV-15,SEMI EXP,4
4-03-0000-1215,SEMITERMINADO RON VIEJO DE CALDAS 3 AÑOS 750 VID 40° EEUU NP,750NI,ESTADOS UNIDOS,2
4-03-2452-1200,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40° NP,375NI,ESPAÑA,1
4-03-2452-1202,RON VIEJO DE CALDAS 5 AÑOS 375 VIDRIO 40° NP,375NI,ESPAÑA,1
4-03-2452-1201,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,ESPAÑA,2
4-03-2452-1217,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° NP,700NI,ESPAÑA,2
4-03-2452-1218,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,ESPAÑA,4
4-03-2452-1219,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VID 40° NP,700CV-15,ESPAÑA,4
4-03-2453-1357,RON VIEJO DE CALDAS ROBLE BLANCO 700 VIDRIO 40° NP,700NI,ESPAÑA,2
4-01-1960-1323,AGUARDIENTE AMARILLO DE MANZANARES SA 1500 VIDRIO 24°,1500CV-A,COSTA RICA,4
4-03-1960-0746,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,COSTA RICA,2
4-03-1960-0747,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,COSTA RICA,2
4-03-0000-1057,SEMITERMINADO RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,GENERICO,4
4-03-2111-0922,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,CHILE GLOBAL,2
4-03-2111-1237,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° NP,700NI,CHILE GLOBAL,2
4-03-2111-0925,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,CHILE GLOBAL,4
